C;V;VCV;il tape VCV parfois;6
b;i;ibi;il tape ibi parfois;6
d;i;idi;il tape idi parfois;6
g;i;igi;il tape igui parfois;6
p;i;ipi;il tape ipi parfois;6
t;i;iti;il tape iti parfois;6
k;i;iki;il tape iki parfois;6
m;i;imi;il tape imi parfois;6
n;i;ini;il tape ini parfois;6
J;i;igni;il tape igni parfois;6
f;i;ifi;il tape ifi parfois;6
s;i;issi;il tape issi parfois;6
S;i;ichi;il tape ichi parfois;6
v;i;ivi;il tape ivi parfois;6
z;i;izi;il tape izi parfois;6
Z;i;iji;il tape iji parfois;6
l;i;ili;il tape ili parfois;6
R;i;iri;il tape iri parfois;6
w;i;iwi;il tape iwi parfois;6
j;i;iyi;il tape iyi parfois;6
b;a;aba;il tape aba parfois;6
d;a;ada;il tape ada parfois;6
g;a;aga;il tape aga parfois;6
p;a;apa;il tape apa parfois;6
t;a;ata;il tape ata parfois;6
k;a;aka;il tape aka parfois;6
m;a;ama;il tape ama parfois;6
n;a;ana;il tape ana parfois;6
J;a;agna;il tape agna parfois;6
f;a;afa;il tape afa parfois;6
s;a;assa;il tape assa parfois;6
S;a;acha;il tape acha parfois;6
v;a;ava;il tape ava parfois;6
z;a;aza;il tape aza parfois;6
Z;a;aja;il tape aja parfois;6
l;a;ala;il tape ala parfois;6
R;a;ara;il tape ara parfois;6
w;a;awa;il tape awa parfois;6
j;a;aya;il tape aya parfois;6
b;u;oubou;il tape oubou parfois;6
d;u;oudou;il tape oudou parfois;6
g;u;ougou;il tape ougou parfois;6
p;u;oupou;il tape oupou parfois;6
t;u;outou;il tape outou parfois;6
k;u;oukou;il tape oukou parfois;6
m;u;oumou;il tape oumou parfois;6
n;u;ounou;il tape ounou parfois;6
J;u;ougnou;il tape ougnou parfois;6
f;u;oufou;il tape oufou parfois;6
s;u;ousou;il tape oussou parfois;6
S;u;ouchou;il tape ouchou parfois;6
v;u;ouvou;il tape ouvou parfois;6
z;u;ouzou;il tape ouzou parfois;6
Z;u;oujou;il tape oujou parfois;6
l;u;oulou;il tape oulou parfois;6
R;u;ourou;il tape ourou parfois;6
w;u;ouwou;il tape ouwou parfois;6
j;u;ouyou;il tape ouyou parfois;6
