1;Regarde cette envie utopique;envie;utopique;i;y;8
2;Regarde cette revue historique;revue;historique;y;i;8
3;Regarde ce récit ouvrier;récit;ouvrier;i;u;8
4;Regarde ce tatou hystérique;tatou;hystérique;u;i;8
5;Regarde cette vertu oubliée;vertu;oubliée;y;u;8
6;Regarde ce joujou usagé;joujou;usagé;u;y;8
7;Regarde ce tapis épuré;tapis;épuré;i;e;8
8;Regarde cette cité idyllique;cité;idyllique;e;i;8
9;Regarde ce haché avarié;haché;avarié;e;a;8
10;Regarde ce débat étonnant;débat;étonnant;a;e;8
11;Regarde ce taxi adéquat;taxi;adéquat;i;a;8
12;Regarde ce papa hilarant;papa;hilarant;a;i;8
13;Regarde cet abbé autonome;abbé;autonome;e;o;8
14;Regarde ces locaux étudiant;locaux;étudiant;o;e;8
15;Regarde ce bijou audacieux;bijou;audacieux;u;o;8
16;Regarde ce robot outrancier;robot;outrancier;o;u;8
17;Regarde cet avis usité;avis;usité;i;y;8
18;Regarde ce barbu islandais;barbu;islandais;y;i;8
19;Regarde ce taudis oublié;taudis;oublié;i;u;8
20;Regarde cet atout idéal;atout;idéal;u;i;8
21;Regarde cette tribu ouvrière;tribu;ouvrière;y;u;8
22;Regarde ce vaudou usurier;vaudou;usurier;u;y;8
23;Regarde ce yogi égyptien;yogi;égyptien;i;e;8
24;Regarde cette rosée hivernale;rosée;hivernale;e;i;8
25;Regarde cette poupée attirante;poupée;attirante;e;a;8
26;Regarde ce soldat étourdi;soldat;étourdi;a;e;8
27;Regarde ce logis habité;logis;habité;i;a;8
28;Regarde ce nougat italien;nougat;italien;a;i;8
29;Regarde ce berger autochtone;berger;autochtone;e;o;8
30;Regarde ce gâteau épicé;gâteau;épicé;o;e;8
31;Regarde ce hibou automate;hibou;automate;u;o;8
32;Regarde ce tricot ouvragé;tricot;ouvragé;o;u;8
