C;V;SAMPA;mot;seq
t;a:;ba:t;بَات;a:t
t;a;fat;فَت;at
t;u:;fu:t;فُوت;u:t
t;u;kut;كُت;ut
t;i:;Zi:t;جِيت ;i:t
t;i;bit;بِت;it
t;o:;bo:t;بوت;o:t
t;e:;be:t;بيت;e:t
k;a:;Za:k;جَاك;a:k
k;a;fak;فَك;ak
k;u:;Zu:k;جُوك;u:k
k;u;X\uk;حُك;uk
k;i:;fi:k;فِيك;i:k
k;i;fik;فِك;ik
k;o:;So:k;شوك;o:k
k;e:;be:k;بيك;e:k
q;a:;?'a:q;عَاق;a:q
q;a;?'aq;عَق;aq
q;u:;bu:q;بُوق;u:q
q;u;t'uq;طُق;uq
q;i:;si:q;سِيق;i:q
q;i;Tiq;ثِق;iq
q;o:;Do:q;ذوق;o:q
q;e:;d'e:q;ضيق;e:q
?;a:;ba:?;بَاء;a:?
?;a;la?;لَء;a?
?;u:;du:?;دُوء;u:?
?;u;nu?;نُء;u?
?;i:;di:?;دِيء;i:?
?;i;ni?;نِء;i?
?;o:;fo:?;فوء;o:?
?;e:;Se:?;شيء;e:?
t';a:;Za:t';جَاط;a:t'
t';a;X\at';حَط;at'
t';u:;lu:t';لُوط;u:t'
t';u;X\ut';حُط;ut'
t';i:;Si:t';شِيط;i:t'
t';i;Git';غِط;it'
t';o:;Go:t';غوط;o:t'
t';e:;xe:t';غيط;e:t'
b;a:;Sa:b;شَاب;a:b
b;a;Sab;شَب;ab
b;u:;tu:b;تُوب;u:b
b;u;tub;تُب;ub
b;i:;Zi:b;جِيب;i:b
b;i;X\ib;حِب;ib
b;o:;To:b;ثوب;o:b
b;e:;?'e:b;عيب;e:b
g;a:;fa:g;فَاق;a:g
g;a;bag;بَق;ag
g;u:;Du:g;ذُوق;u:g
g;u;dug;دُق;ug
g;i:;ri:g;رِيق;i:g
g;i;zig;زِق;ig
g;o:;fo:g;فوق;o:g
g;e:;D'e:g;ظيق;e:g
d;a:;?'a:d;عَاد;a:d
d;a;?'ad;عَد;ad
d;u:;?'u:d;عُود;u:d
d;u;?'ud;عُد;ud
d;i:;?'i:d;عِيد;i:d
d;i;?'id;عِد;id
d;o:;zo:d;زود;o:d
d;e:;ze:d;زيد;e:d
d';a:;xa:d';خَاض;a:d'
d';a;xad';خَض;ad'
d';u:;xu:d';خُوض;u:d'
d';u;xud';خُض;ud'
d';i:;bi:d';بِيض;i:d'
d';i;?'id';عِض;id'
d';o:;X\o:d';حوض;o:d'
d';e:;be:d';بيض;e:d'
m;a:;?'a:m;عَام;a:m
m;a;?'am;عَم;am
m;u:;Tu:m;ثُوم;u:m
m;u;tum;ثُم;um
m;i:;gi:m;قِيم;i:m
m;i;?im;إِم;im
m;o:;s'o:m;صوم;o:m
m;e:;s'e:b;صيب;e:m
n;a:;ha:n;هَان;a:n
n;a;fan;فَن;an
n;u:;s'u:n;صُون;u:n
n;u;sin;سِن;un
n;i:;di:n;دِين;i:n
n;i;Zin;جِن;in
n;o:;xo:n;خون;o:n
n;e:;be:n;بين;e:n
t;a:;ta:b;تَاب;ta:
t;a;tal;تَل;ta
t;u:;tu:b;تُوب;tu:
t;u;tuf;تُف;tu
t;i:;ti:n;تِين;ti:
t;i;tif;تِف;ti
t;o:;to:m;توم;to:
t;e:;te:s;تيس;te:
k;a:;ka:z;كَاز;ka:
k;a;kaz;كَز;ka
k;u:;ku:?';كُوع;ku:
k;u;kum;كُم;ku
k;i:;ki:s;كِيس;ki:
k;i;kit;كِت;ki
k;o:;ko:l;كول;ko:
k;e:;ke:f;كيف;ke:
q;a:;qa:f;قَاف;qa:
q;a;qad;قَد;qa
q;u:;qu:m;قُوم;qu:
q;u;qum;قُم;qu
q;i:;qi:m;قِيم;qi:
q;i;qif;قِف;qi
q;o:;qo:s;قوس;qo:
q;e:;qe:X\;قيح;qe:
?;a:;?a:l;آل;?a:
?;a;?ax;أَخ;?a
?;u:;?u:m;اُوم;?u:
?;u;?um;أُم;?u
?;i:;?i:m;إِيم;?i:
?;i;?im;إِم;?i
?;o:;?o:l;أول;?o:
?;e:;?e:l;أيل;?e:
t';a:;t'a:l;طَال;t'a:
t';a;t'ab;طَب;t'a
t';u:;t'u:b;طُوب;t'u:
t';u;t'ux;طُخ;t'u
t';i:;t'i:r;طِير;t'i:
t';i;t'ib;طِب;t'i
t';o:;t'o:g;طوق;t'o:
t';e:;t'e:r;طير;t'e:
b;a:;ba:b;بَاب;ba:
b;a;bas;بَس;ba
b;u:;bu:z;بُوز;bu:
b;u;bun;بُن;bu
b;i:;bi:r;بِير;bi:
b;i;bis;بِس;bi
b;o:;bo:l;بول;bo:
b;e:;be:t;بيت;be:
g;a:;ga:l;قَال;ga:
g;a;gab;قَب;ga
g;u:;gu:l;قُول;gu:
g;u;gul;قُل;gu
g;i:;gi:l;قِيل;gi:
g;i;gib;قِب;gi
g;o:;go:s;قوس;go:
g;e:;ge:d;قيد;ge:
d;a:;da:x;دَاخ;da:
d;a;daz;دَز;da
d;u:;du:x;دُوخ;du:
d;u;dub;دُب;du
d;i:;di:k;دِيك;di:
d;i;diz;دِز;di
d;o:;do:r;دور;do:
d;e:;de:r;دير;de:
d';a:;d'a:r;ضَار;d'a:
d';a;d'ar;ضَر;d'a
d';u:;d'u:j;ضُوج;d'u:
d';u;d'um;ضُم;d'u
d';i:;d'i:g;ضِيق;d'i:
d';i;d'id;ضِد;d'i
d';o:;d'o:m;ضوم;d'o:
d';e:;d'e:m;ضيم;d'e:
m;a:;ma:l;مَال;ma:
m;a;mal;مَل;ma
m;u:;mu:s;مُوس;mu:
m;u;mux;مُخ;mu
m;i:;mi:X\;مِيح;mi:
m;i;miS;مِش;mi
m;o:;mo:l;مول;mo:
m;e:;me:l;ميل;me:
n;a:;na:r;نَار;na:
n;a;nat';نَط;na
n;u:;nu:r;نُور;nu:
n;u;nus';نُص;nu
n;i:;ni:?';نِيع;ni:
n;i;nix;نِخ;ni
n;o:;no:m;نوم;no:
n;e:;ne:x;نيخ;ne:
