Il prononce aba parfois, aba.
Il prononce ada parfois, ada.
Il prononce aga parfois, aga.
Il prononce apa parfois, apa.
Il prononce ata parfois, ata.
Il prononce aka parfois, aka.
Il prononce ibi parfois, ibi.
Il prononce idi parfois, idi.
Il prononce igi parfois, igi.
Il prononce ipi parfois, ipi.
Il prononce iti parfois, iti.
Il prononce iki parfois, iki.
Il prononce oubou parfois, oubou.
Il prononce oudou parfois, oudou.
Il prononce ougou parfois, ougou.
Il prononce oupou parfois, oupou.
Il prononce outou parfois, outou.
Il prononce oukou parfois, oukou.
