;V1 (ortho);V2 (ortho);V (SAMPA);C (API);C (ortho);C (SAMPA);VCV SAMPA;VCV Ortho;Contexte;Oral/Nasal;Voisé/NVoisé;Continu/DisContinu;Strident/Mat;Vocalique/NVocalique;Compact/Diffus;Grave/Aigu
1;i;i;i;p;p;p;ipi;ipi;Ant;O;NVo;DCu;Mat;NVoc;D;G
2;a;a;a;p;p;p;apa;apa;Cen;O;NVo;DCu;Mat;NVoc;D;G
3;ou;ou;u;p;p;p;upu;oupou;Ar;O;NVo;DCu;Mat;NVoc;D;G
4;i;i;i;t;t;t;iti;iti;Ant;O;NVo;DCu;Mat;NVoc;D;A
5;a;a;a;t;t;t;ata;ata;Cen;O;NVo;DCu;Mat;NVoc;D;A
6;ou;ou;u;t;t;t;utu;outou;Ar;O;NVo;DCu;Mat;NVoc;D;A
7;i;i;i;k;k;k;iki;iki;Ant;O;NVo;DCu;Mat;NVoc;Cp;A
8;a;a;a;k;k;k;aka;aka;Cen;O;NVo;DCu;Mat;NVoc;Cp;A
9;ou;ou;u;k;k;k;uku;oukou;Ar;O;NVo;DCu;Mat;NVoc;Cp;A
10;i;i;i;b;b;b;ibi;ibi;Ant;O;Vo;DCu;Mat;NVoc;D;G
11;a;a;a;b;b;b;aba;aba;Cen;O;Vo;DCu;Mat;NVoc;D;G
12;ou;ou;u;b;b;b;ubu;oubou;Ar;O;Vo;DCu;Mat;NVoc;D;G
13;i;i;i;d;d;d;idi;idi;Ant;O;Vo;DCu;Mat;NVoc;D;A
14;a;a;a;d;d;d;ada;ada;Cen;O;Vo;DCu;Mat;NVoc;D;A
15;ou;ou;u;d;d;d;udu;oudou;Ar;O;Vo;DCu;Mat;NVoc;D;A
16;i;i;i;g;gu;g;igi;igui;Ant;O;Vo;DCu;Mat;NVoc;Cp;A
17;a;a;a;g;g;g;aga;aga;Cen;O;Vo;DCu;Mat;NVoc;Cp;A
18;ou;ou;u;g;g;g;ugu;ougou;Ar;O;Vo;DCu;Mat;NVoc;Cp;A
19;i;i;i;m;m;m;imi;imi;Ant;N;Vo;Cu;Mat;Voc;D;G
20;a;a;a;m;m;m;ama;ama;Cen;N;Vo;Cu;Mat;Voc;D;G
21;ou;ou;u;m;m;m;umu;oumou;Ar;N;Vo;Cu;Mat;Voc;D;G
22;i;i;i;n;n;n;ini;ini;Ant;N;Vo;Cu;Mat;Voc;D;A
23;a;a;a;n;n;n;ana;ana;Cen;N;Vo;Cu;Mat;Voc;D;A
24;ou;ou;u;n;n;n;unu;ounou;Ar;N;Vo;Cu;Mat;Voc;D;A
25;i;i;i;G;gn;J;iJi;igni;Ant;N;Vo;Cu;Mat;Voc;Cp;A
26;a;a;a;G;gn;J;aJa;agna;Cen;N;Vo;Cu;Mat;Voc;Cp;A
27;ou;ou;u;G;gn;J;uJu;ougnou;Ar;N;Vo;Cu;Mat;Voc;Cp;A
28;i;i;i;f;f;f;ifi;ifi;Ant;O;NVo;Cu;Stri;NVoc;D;A
29;a;a;a;f;f;f;afa;afa;Cen;O;NVo;Cu;Stri;NVoc;D;A
30;ou;ou;u;f;f;f;ufu;oufou;Ar;O;NVo;Cu;Stri;NVoc;D;A
31;i;i;i;s;ss;s;isi;issi;Ant;O;NVo;Cu;Stri;NVoc;D;A
32;a;a;a;s;ss;s;asa;assa;Cen;O;NVo;Cu;Stri;NVoc;D;A
33;ou;ou;u;s;ss;s;usu;oussou;Ar;O;NVo;Cu;Stri;NVoc;D;A
34;i;i;i;H;ch;S;iSi;ichi;Ant;O;NVo;Cu;Stri;NVoc;Cp;A
35;a;a;a;H;ch;S;aSa;acha;Cen;O;NVo;Cu;Stri;NVoc;Cp;A
36;ou;ou;u;H;ch;S;uSu;ouchou;Ar;O;NVo;Cu;Stri;NVoc;Cp;A
37;i;i;i;v;v;v;ivi;ivi;Ant;O;Vo;Cu;Stri;NVoc;D;G
38;a;a;a;v;v;v;ava;ava;Cen;O;Vo;Cu;Stri;NVoc;D;G
39;ou;ou;u;v;v;v;uvu;ouvou;Ar;O;Vo;Cu;Stri;NVoc;D;G
40;i;i;i;z;z;z;izi;izi;Ant;O;Vo;Cu;Stri;NVoc;D;A
41;a;a;a;z;z;z;aza;aza;Cen;O;Vo;Cu;Stri;NVoc;D;A
42;ou;ou;u;z;z;z;uzu;ouzou;Ar;O;Vo;Cu;Stri;NVoc;D;A
43;i;i;i;j;j;Z;iZi;iji;Ant;O;Vo;Cu;Stri;NVoc;Cp;A
44;a;a;a;j;j;Z;aZa;aja;Cen;O;Vo;Cu;Stri;NVoc;Cp;A
45;ou;ou;u;j;j;Z;uZu;oujou;Ar;O;Vo;Cu;Stri;NVoc;Cp;A
46;i;i;i;r;r;R;iRi;iri;Ant;O;Vo;Cu;Mat;Voc;Cp;G
47;a;a;a;r;r;R;aRa;ara;Cen;O;Vo;Cu;Mat;Voc;Cp;G
48;ou;ou;u;r;r;R;uRu;ourou;Ar;O;Vo;Cu;Mat;Voc;Cp;G
49;i;i;i;l;l;l;ili;ili;Ant;O;Vo;Cu;Mat;Voc;D;A
50;a;a;a;l;l;l;ala;ala;Cen;O;Vo;Cu;Mat;Voc;D;A
51;ou;ou;u;l;l;l;ulu;oulou;Ar;O;Vo;Cu;Mat;Voc;D;A
52;i;i;i;j;y;j;iji;iyi;Ant;O;Vo;Cu;Mat;Voc;Cp;A
53;a;a;a;j;y;j;aja;aya;Cen;O;Vo;Cu;Mat;Voc;Cp;A
54;ou;ou;u;j;y;j;uju;ouyou;Ar;O;Vo;Cu;Mat;Voc;Cp;A
55;i;i;i;w;w;w;iwi;iwi;Ant;O;Vo;Cu;Mat;Voc;D;G
56;a;a;a;w;w;w;awa;awa;Cen;O;Vo;Cu;Mat;Voc;D;G
57;ou;ou;u;w;w;w;uwu;ouwou;Ar;O;Vo;Cu;Mat;Voc;D;G
