phrase;nbsylls;sampa;liste;porteuse1;porteuse2
Il tapa 'bain' parfois.;6;bE~;'bain';Il tapa ; parfois.
Il tapa 'bans' parfois.;6;bA~;'bans';Il tapa ; parfois.
Il tapa 'bon' parfois.;6;bO~;'bon';Il tapa ; parfois.
Il tapa 'bé' parfois.;6;be;'bé';Il tapa ; parfois.
Il tapa 'ba' parfois.;6;ba;'ba';Il tapa ; parfois.
Il tapa 'bo' parfois.;6;bo;'bo';Il tapa ; parfois.
Il tapa 'dain' parfois.;6;dE~;'dain';Il tapa ; parfois.
Il tapa 'dans' parfois.;6;dA~;'dans';Il tapa ; parfois.
Il tapa 'don' parfois.;6;dO~;'don';Il tapa ; parfois.
Il tapa 'dé' parfois.;6;de;'dé';Il tapa ; parfois.
Il tapa 'da' parfois.;6;da;'da';Il tapa ; parfois.
Il tapa 'do' parfois.;6;do;'do';Il tapa ; parfois.
Il tapa 'guain' parfois.;6;gE~;'guain';Il tapa ; parfois.
Il tapa 'guans' parfois.;6;gA~;'guans';Il tapa ; parfois.
Il tapa 'guon' parfois.;6;gO~;'guon';Il tapa ; parfois.
Il tapa 'gué' parfois.;6;ge;'gué';Il tapa ; parfois.
Il tapa 'gua' parfois.;6;ga;'gua';Il tapa ; parfois.
Il tapa 'guo' parfois.;6;go;'guo';Il tapa ; parfois.
Il tapa 'pain' parfois.;6;pE~;'pain';Il tapa ; parfois.
Il tapa 'pans' parfois.;6;pA~;'pans';Il tapa ; parfois.
Il tapa 'pon' parfois.;6;pO~;'pon';Il tapa ; parfois.
Il tapa 'pé' parfois.;6;pe;'pé';Il tapa ; parfois.
Il tapa 'pa' parfois.;6;pa;'pa';Il tapa ; parfois.
Il tapa 'po' parfois.;6;po;'po';Il tapa ; parfois.
Il tapa 'tain' parfois.;6;tE~;'tain';Il tapa ; parfois.
Il tapa 'tans' parfois.;6;tA~;'tans';Il tapa ; parfois.
Il tapa 'ton' parfois.;6;tO~;'ton';Il tapa ; parfois.
Il tapa 'té' parfois.;6;te;'té';Il tapa ; parfois.
Il tapa 'ta' parfois.;6;ta;'ta';Il tapa ; parfois.
Il tapa 'to' parfois.;6;to;'to';Il tapa ; parfois.
Il tapa 'kain' parfois.;6;kE~;'kain';Il tapa ; parfois.
Il tapa 'kans' parfois.;6;kA~;'kans';Il tapa ; parfois.
Il tapa 'kon' parfois.;6;kO~;'kon';Il tapa ; parfois.
Il tapa 'ké' parfois.;6;ke;'ké';Il tapa ; parfois.
Il tapa 'ka' parfois.;6;ka;'ka';Il tapa ; parfois.
Il tapa 'ko' parfois.;6;ko;'ko';Il tapa ; parfois.
Il tapa 'main' parfois.;6;mE~;'main';Il tapa ; parfois.
Il tapa 'mans' parfois.;6;mA~;'mans';Il tapa ; parfois.
Il tapa 'mon' parfois.;6;mO~;'mon';Il tapa ; parfois.
Il tapa 'mé' parfois.;6;me;'mé';Il tapa ; parfois.
Il tapa 'ma' parfois.;6;ma;'ma';Il tapa ; parfois.
Il tapa 'mo' parfois.;6;mo;'mo';Il tapa ; parfois.
Il tapa 'nain' parfois.;6;nE~;'nain';Il tapa ; parfois.
Il tapa 'nans' parfois.;6;nA~;'nans';Il tapa ; parfois.
Il tapa 'non' parfois.;6;nO~;'non';Il tapa ; parfois.
Il tapa 'né' parfois.;6;ne;'né';Il tapa ; parfois.
Il tapa 'na' parfois.;6;na;'na';Il tapa ; parfois.
Il tapa 'no' parfois.;6;no;'no';Il tapa ; parfois.
Il tapa 'niain' parfois.;6;NE~;'niain';Il tapa ; parfois.
Il tapa 'nians' parfois.;6;NA~;'nians';Il tapa ; parfois.
Il tapa 'nion' parfois.;6;NO~;'nion';Il tapa ; parfois.
Il tapa 'nié' parfois.;6;Ne;'nié';Il tapa ; parfois.
Il tapa 'nia' parfois.;6;Na;'nia';Il tapa ; parfois.
Il tapa 'nio' parfois.;6;No;'nio';Il tapa ; parfois.
